Country Name,2021 # Olympic Athletes,Total Population,Population per Olympic Athlete
Afghanistan,5,"38,928,346",7785669.2
Albania,9,"2,877,797",319755.2222
Algeria,44,"43,851,044",996614.6364
American Samoa,6,"55,191",9198.5
Andorra,2,"77,265",38632.5
Angola,20,"32,866,272",1643313.6
Antigua and Barbuda,6,"97,929",16321.5
Argentina,174,"45,195,774",259745.8276
Armenia,17,"2,963,243",174308.4118
Aruba,3,"106,766",35588.66667
Australia,478,"25,499,884",53347.03766
Austria,60,"9,006,398",150106.6333
Azerbaijan,44,"10,139,177",230435.8409
Bahamas,16,"393,244",24577.75
Bahrain,32,"1,701,575",53174.21875
Bangladesh,6,"164,689,383",27448230.5
Barbados,8,"287,375",35921.875
Belarus,101,"9,449,323",93557.65347
Belgium,121,"11,589,623",95782.00826
Belize,3,"397,628",132542.6667
Benin,7,"12,123,200",1731885.714
Bermuda,2,"62,278",31139
Bhutan,4,"771,608",192902
Bolivia,5,"11,673,021",2334604.2
Bosnia and Herzegovina,7,"3,280,819",468688.4286
Botswana,13,"2,351,627",180894.3846
Brazil,302,"212,559,417",703839.1291
British Virgin Islands,3,"30,231",10077
Brunei,2,"437,479",218739.5
Bulgaria,42,"6,948,445",165439.1667
Burkina Faso,7,"20,903,273",2986181.857
Burundi,6,"11,890,784",1981797.333
Cambodia,3,"16,718,965",5572988.333
Cameroon,12,"26,545,863",2212155.25
Canada,370,"37,742,154",102005.8216
Cape Verde,6,"540,000",90000
Cayman Islands,5,"65,722",13144.4
Central African Republic,2,"4,829,767",2414883.5
Chad,3,"16,425,864",5475288
Chile,57,"19,116,201",335371.9474
China,406,"1,439,323,776",3545132.453
Chinese Taipei,59,"23,816,775",403674.1525
Colombia,71,"50,882,891",716660.4366
Comoros,3,"869,601",289867
Republic of the Congo,3,"5,518,087",1839362.333
Cook Islands,6,"17,564",2927.333333
Costa Rica,12,"5,094,118",424509.8333
Croatia,59,"4,105,267",69580.79661
Cuba,68,"11,326,616",166567.8824
Cyprus,13,"1,207,359",92873.76923
Czech Republic,115,"10,708,981",93121.57391
Democratic Republic of the Congo,7,"89,561,403",12794486.14
Ivory Coast,28,"26,378,274",942081.2143
Denmark,105,"5,792,202",55163.82857
Djibouti,4,"988,000",247000
Dominica,2,"71,986",35993
Dominican Republic,60,"10,847,910",180798.5
East Timor,3,"1,345,654",448551.3333
Ecuador,41,"17,643,054",430318.3902
Egypt,133,"102,334,404",769431.609
El Salvador,5,"6,486,205",1297241
Equatorial Guinea,3,"1,402,985",467661.6667
Eritrea,13,"3,546,421",272801.6154
Estonia,33,"1,326,535",40198.0303
Eswatini,4,"1,160,164",290041
Ethiopia,36,"114,963,588",3193433
Federated States of Micronesia,3,"116,326",38775.33333
Fiji,29,"896,445",30911.89655
Finland,30,"5,540,720",184690.6667
